003  00340 |Loss: 1.741 | Acc: 34.826% 
003  00341 |Loss: 1.737 | Acc: 35.156% 
003  00342 |Loss: 1.734 | Acc: 35.268% 
003  00343 |Loss: 1.732 | Acc: 35.291% 
003  00344 |Loss: 1.731 | Acc: 35.260% 
003  00345 |Loss: 1.732 | Acc: 35.257% 
003  00346 |Loss: 1.732 | Acc: 35.352% 
003  00347 |Loss: 1.732 | Acc: 35.488% 
003  00348 |Loss: 1.731 | Acc: 35.432% 
003  00349 |Loss: 1.729 | Acc: 35.536% 
003  00350 |Loss: 1.729 | Acc: 35.677% 
003  00351 |Loss: 1.730 | Acc: 35.536% 
003  00352 |Loss: 1.731 | Acc: 35.321% 
003  00353 |Loss: 1.734 | Acc: 35.276% 
003  00354 |Loss: 1.737 | Acc: 35.293% 
003  00355 |Loss: 1.736 | Acc: 35.232% 
003  00356 |Loss: 1.738 | Acc: 35.212% 
003  00357 |Loss: 1.739 | Acc: 35.084% 
003  00358 |Loss: 1.743 | Acc: 34.908% 
003  00359 |Loss: 1.743 | Acc: 34.931% 
003  00360 |Loss: 1.744 | Acc: 35.037% 
003  00361 |Loss: 1.744 | Acc: 35.073% 
003  00362 |Loss: 1.744 | Acc: 35.026% 
003  00363 |Loss: 1.744 | Acc: 34.997% 
003  00364 |Loss: 1.743 | Acc: 35.047% 
003  00365 |Loss: 1.745 | Acc: 34.972% 
003  00366 |Loss: 1.744 | Acc: 34.991% 
003  00367 |Loss: 1.747 | Acc: 34.802% 
