001  00247 |Loss: 0.485 | Acc: 82.528% 
001  00248 |Loss: 0.485 | Acc: 82.529% 
001  00249 |Loss: 0.483 | Acc: 82.574% 
001  00250 |Loss: 0.482 | Acc: 82.606% 
001  00251 |Loss: 0.482 | Acc: 82.638% 
001  00252 |Loss: 0.481 | Acc: 82.667% 
001  00253 |Loss: 0.480 | Acc: 82.689% 
001  00254 |Loss: 0.480 | Acc: 82.708% 
001  00255 |Loss: 0.479 | Acc: 82.733% 
001  00256 |Loss: 0.479 | Acc: 82.751% 
001  00257 |Loss: 0.478 | Acc: 82.761% 
001  00258 |Loss: 0.477 | Acc: 82.779% 
001  00259 |Loss: 0.477 | Acc: 82.803% 
001  00260 |Loss: 0.476 | Acc: 82.837% 
001  00261 |Loss: 0.475 | Acc: 82.857% 
001  00262 |Loss: 0.474 | Acc: 82.893% 
001  00263 |Loss: 0.474 | Acc: 82.908% 
001  00264 |Loss: 0.473 | Acc: 82.928% 
001  00265 |Loss: 0.473 | Acc: 82.951% 
001  00266 |Loss: 0.472 | Acc: 82.986% 
001  00267 |Loss: 0.471 | Acc: 82.991% 
001  00268 |Loss: 0.471 | Acc: 83.014% 
001  00269 |Loss: 0.470 | Acc: 83.042% 
001  00270 |Loss: 0.469 | Acc: 83.061% 
001  00271 |Loss: 0.469 | Acc: 83.069% 
001  00272 |Loss: 0.468 | Acc: 83.103% 
001  00273 |Loss: 0.467 | Acc: 83.122% 
001  00274 |Loss: 0.466 | Acc: 83.140% 
001  00275 |Loss: 0.466 | Acc: 83.148% 
001  00276 |Loss: 0.465 | Acc: 83.183% 
001  00277 |Loss: 0.465 | Acc: 83.202% 
001  00278 |Loss: 0.464 | Acc: 83.212% 
001  00279 |Loss: 0.464 | Acc: 83.230% 
001  00280 |Loss: 0.463 | Acc: 83.248% 
001  00281 |Loss: 0.463 | Acc: 83.257% 
001  00282 |Loss: 0.463 | Acc: 83.275% 
001  00283 |Loss: 0.462 | Acc: 83.301% 
001  00284 |Loss: 0.461 | Acc: 83.313% 
001  00285 |Loss: 0.461 | Acc: 83.344% 
001  00286 |Loss: 0.460 | Acc: 83.370% 
001  00287 |Loss: 0.460 | Acc: 83.381% 
001  00288 |Loss: 0.459 | Acc: 83.398% 
001  00289 |Loss: 0.459 | Acc: 83.426% 
001  00290 |Loss: 0.459 | Acc: 83.427% 
001  00291 |Loss: 0.458 | Acc: 83.427% 
001  00292 |Loss: 0.458 | Acc: 83.452% 
001  00293 |Loss: 0.457 | Acc: 83.471% 
001  00294 |Loss: 0.456 | Acc: 83.493% 
001  00295 |Loss: 0.456 | Acc: 83.520% 
001  00296 |Loss: 0.455 | Acc: 83.533% 
001  00297 |Loss: 0.455 | Acc: 83.560% 
001  00298 |Loss: 0.454 | Acc: 83.573% 
001  00299 |Loss: 0.454 | Acc: 83.586% 
001  00300 |Loss: 0.453 | Acc: 83.612% 
001  00301 |Loss: 0.452 | Acc: 83.643% 
001  00302 |Loss: 0.452 | Acc: 83.645% 
001  00303 |Loss: 0.452 | Acc: 83.658% 
001  00304 |Loss: 0.452 | Acc: 83.671% 
001  00305 |Loss: 0.451 | Acc: 83.694% 
001  00306 |Loss: 0.451 | Acc: 83.701% 
001  00307 |Loss: 0.450 | Acc: 83.746% 
001  00308 |Loss: 0.449 | Acc: 83.769% 
001  00309 |Loss: 0.449 | Acc: 83.783% 
001  00310 |Loss: 0.448 | Acc: 83.808% 
001  00311 |Loss: 0.447 | Acc: 83.835% 
